full_address,nearest_mrt_station,distance,num_mrt_2km
502 JURONG WEST AVE 1,Lakeside,0.7451176485291673,3
105 BEDOK RESERVOIR RD,Kaki Bukit,0.6559175874593056,5
642 CHOA CHU KANG ST 64,Yew Tee,0.21768299600833382,2
106 TAMPINES ST 11,Simei,0.7900216112136315,5
877 WOODLANDS AVE 9,Woodlands,1.05364948943415,2
339C KANG CHING RD,Lakeside,0.6432792342080782,3
456 CLEMENTI AVE 3,Clementi,0.37855291296318605,2
294 PUNGGOL CTRL,Punggol,0.3841985720894731,2
460 HOUGANG AVE 10,Hougang,0.3108540614097747,3
180 LOMPANG RD,Bukit Panjang,0.2647513534553388,3
629 ANG MO KIO AVE 4,Yio Chu Kang,0.534881203956977,2
491C TAMPINES ST 45,Tampines East,0.6432947594084001,3
409A FERNVALE RD,Buangkok,1.921147767065099,1
309D ANCHORVALE RD,Sengkang,1.1146746750643124,2
3C UPP BOON KENG RD,Kallang,0.3150181909335617,12
806 TAMPINES AVE 4,Tampines West,0.15236955632723256,4
681B WOODLANDS DR 62,Woodlands,1.9004310585134507,2
288B BT BATOK ST 25,Bukit Batok,1.260503505286329,3
126C EDGEDALE PLAINS,Punggol,1.5465500566134611,2
440A CLEMENTI AVE 3,Clementi,0.17519500134723068,2
105A EDGEFIELD PLAINS,Punggol,0.9859750278624778,2
7 UPP ALJUNIED LANE,Bartley,0.9138066606884674,8
66 BEDOK STH AVE 3,Tanah Merah,1.0169902974959981,2
264 BISHAN ST 24,Bishan,1.0956242013113464,3
259 BOON LAY DR,Boon Lay,0.8243549730927499,3
308 SHUNFU RD,Marymount,0.2173084205825114,4
42 HOLLAND DR,Buona Vista,0.33045983169329135,7
446 CLEMENTI AVE 3,Clementi,0.27063641791790205,2
226E ANG MO KIO AVE 1,Ang Mo Kio,1.1565394807916194,4
502 WOODLANDS DR 14,Woodlands,0.7320976762197837,3
476 SEGAR RD,Bukit Panjang,1.647912755694767,1
136 TECK WHYE LANE,Choa Chu Kang,1.022681140877282,4
141 SERANGOON NTH AVE 2,Kovan,1.5040409662871403,1
230 HOUGANG AVE 1,Kovan,0.3825574098886388,3
884 TAMPINES ST 83,Tampines West,0.8939527536377464,3
12 DOVER CL EAST,Buona Vista,0.538277313915029,6
463 PASIR RIS ST 41,Pasir Ris,0.9794357053503806,2
673A EDGEFIELD PLAINS,Punggol,1.0420166077563922,1
185D RIVERVALE CRES,Sengkang,1.2342605794211985,3
509 ANG MO KIO AVE 8,Ang Mo Kio,0.44389915689510906,2
28 JLN BT MERAH,Redhill,0.8634316783265206,5
243 TAMPINES ST 21,Tampines,0.42364011961251796,4
415B FERNVALE LINK,Buangkok,1.6117129164536788,2
127 BEDOK RESERVOIR RD,Kaki Bukit,0.3408000109967615,5
608 YISHUN ST 61,Khatib,0.445941243374933,2
59C GEYLANG BAHRU,Geylang Bahru,0.3388558733110214,10
113 BT PURMEI RD,HarbourFront,1.2536440753609044,5
226 PENDING RD,Cashew,1.043577807520106,3
21 ST. GEORGE'S RD,Boon Keng,0.522624547276176,9
433 TAMPINES ST 43,Tampines East,0.575384131850449,4
